,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
5099,"okay, do you want to use your main credit card on the account or use a new card",subscription_inquiry,manage_pay_bill,customer,thank you,thank you,thank you,2,okay do you want to use your main credit card on the account or use a new card
5100,"okay done, is there anything else i can help you with today?",subscription_inquiry,manage_pay_bill,customer,hi.  my name is alessandro phoenix.  i would like to know if this product shrinks after washing.,hi my name is alessandro phoenix i would like to know if this product shrinks after washing,hi my name is alessandro phoenix i would like to know if this product shrinks after washing,343,okay done is there anything else i can help you with today
5101,have a nice day,subscription_inquiry,manage_pay_bill,customer,the product is tommy hilfiger jeans.,the product is tommy hilfiger jeans,the product is tommy hilfiger jeans,309,have a nice day
5102,"hello, thank you for contacting acmecorp, how may i help you today?",single_item_query,jacket_how_4,customer,yes it did.  thanks for your help.,yes it did thanks for your help,yes it did thanks for your help,326,hello thank you for contacting acmecorp how may i help you today
5103,i happy to look into that for you. are you just looking at this jacket?,single_item_query,jacket_how_4,customer,no,no,no,167,i happy to look into that for you are you just looking at this jacket
5104,i found the answer for you. the hood is detachable but there are five buttons that are located at collar.,single_item_query,jacket_how_4,customer,i lost my phone and i am unable to log in to my account using two-factor authentication.,i lost my phone and i am unable to log in to my account using two factor authentication,i lost my phone and i am unable to log in to my account using two factor authentication,113,i found the answer for you the hood is detachable but there are five buttons that are located at collar
5105,you just simply unbutton them. do you have any other questions?,single_item_query,jacket_how_4,customer,david williams,david williams,david williams,44,you just simply unbutton them do you have any other questions
5106,"thank you for contacting acmecorp, please be safe and stay well.",single_item_query,jacket_how_4,customer,dwilliams@email.com,dwilliamscom,dwilliamscom,32,thank you for contacting acmecorp please be safe and stay well
5107,"hi, how may i help?",subscription_inquiry,manage_extension,customer,that is it.,that is it,that is it,102,hi how may i help
5108,"sure, may i have your full name, account id and order id?",subscription_inquiry,manage_extension,customer,hi.  my name is sanya afzal.  my account id is <account_id>.  i was wondering when the annual fee is due for my premium subscription service.,hi my name is sanya afzal my account id is account_id i was wondering when the annual fee is due for my premium subscription service,hi my name is sanya afzal my account id is account_id i was wondering when the annual fee is due for my premium subscription service,194,sure may i have your full name account id and order id
5109,what is your membership level?,subscription_inquiry,manage_extension,customer,if it is due today i would like to pay it.,if it is due today i would like to pay it,if it is due today i would like to pay it,372,what is your membership level
5110,"discard the refund error, you have been given a 1 day extension.",subscription_inquiry,manage_extension,customer,yes.  my order id is <order_id>.,yes my order id is order_id,yes my order id is order_id,108,discard the refund error you have been given a day extension
5111,anything else today?,subscription_inquiry,manage_extension,customer,ok great.  thank you.,ok great thank you,ok great thank you,248,anything else today
5112,have a good one!,subscription_inquiry,manage_extension,customer,no that is it.  thanks.,no that is it thanks,no that is it thanks,313,have a good one
5113,"hello, how may i help you today?",storewide_query,pricing_1,customer,you too,you too,you too,30,hello how may i help you today
